block_size,records,t_core_p50_ms,t_core_p95_ms,t_verify_p50_ms,t_verify_p95_ms,t_verify_rollback_p50_ms,t_verify_rollback_p95_ms,t_replay_p50_ms,t_replay_p95_ms,t_safe_total_p50_ms,t_safe_total_p95_ms,no_replay_ceiling_p50_tps,no_replay_ceiling_p95_tps,replay_median_percent,timing_residual_abs_median_percent,timing_residual_abs_p95_percent,batch_accept_count,batch_final_argmax_equal_count
1,20,44.678499999500005,46.75620000095,45.168,47.276699999049995,45.168,47.276699999049995,0.0,0.0,45.3084999995,47.431599999099994,22.139567835635848,21.152068566970506,0.0,0.0,0.00218937658987909,20,20
2,20,79.58849999899999,81.82465000095,80.158499999,82.40790000185,80.43799999999999,82.66139999995,89.81450000000001,91.8557999999,169.839,174.59375000185,24.950566690057205,24.26951784907881,52.68857907759857,0.0,0.0005914198513460252,20,20
4,20,116.81700000000001,120.46984999995,117.3909999995,121.027049999,117.684,121.3398,179.9189999995,182.10779999904997,297.71299999999997,302.9114,34.074162414640284,33.05046268609414,60.38837099153229,0.0,0.0003725605811058621,20,15
6,20,145.3079999995,146.48635000195,145.8665,147.04195,146.1745,147.31895000100002,269.3105000005,272.36389999995004,414.9015000005,419.85210000005,41.13350220921185,40.804681929204556,64.8095503242092,0.0,0.00025303462491628264,15,15
8,20,180.1454999995,181.35874999905,180.7039999995,181.95770000005,180.985,182.23665,360.14149999899996,363.54474999905005,541.1220000005001,544.3457499999499,44.27129449277346,43.96626248846738,66.49970962462376,0.0,0.00036999496447771737,15,20
