block_size,snapshot_ms_median_percent,input_prepare_ms_median_percent,upload_ms_median_percent,layer_ms_median_percent,head_ms_median_percent,read_ms_median_percent,final_logits_read_ms_median_percent,compare_ms_median_percent,state_check_ms_median_percent,rollback_ms_median_percent,replay_ms_median_percent,final_commit_ms_median_percent,timing_residual_ms_median_percent,verify_leaf_residual_median_percent
1,0.6443257238512242,0.0,0.0,98.57290332349947,0.0,0.0,0.0,0.44981390529073184,0.0,0.0,0.0,0.31843354026977044,0.0,0.0
2,0.1767621779405609,0.0,0.006354826222981658,43.40383962696568,3.357695945690863,0.0005872320032572821,0.02704726358293405,0.12331873306526726,0.0,0.1664521868382482,52.68857907759857,0.08694799203764558,0.0,0.005048755772105739
4,0.09956042990672762,0.0,0.013112175045945763,37.24466689001579,1.9545984719101255,0.00033517366535289314,0.017684295514480235,0.07158317433632369,0.0,0.09867177480861113,60.38837099153229,0.050102359700511814,0.0,0.0026941024060714394
6,0.07248911859314568,0.0,0.005784784389062083,33.52786353517297,1.4336253730185693,0.000240889589251073,0.011489622087883927,0.05237238129546268,0.0,0.07311447947284108,64.8095503242092,0.036969153745889397,0.0,0.0021795485926408885
8,0.05693544157774609,0.0,0.005749879343968023,32.18129526713062,1.124327793189099,0.00018467911442451263,0.009867537054412597,0.040089441206501056,0.0,0.05551843177728826,66.49970962462376,0.0283740201977321,0.0,0.0018444141347451373
